batch,dataset,arch,block,d_model,grid,seq_len,exp_id,group,seed,epochs,tail_val_acc,tail_train_acc,final_val_acc,param_count,source
earlier,cifar10,channel_split,mamba,256,16,256,channel_rand_perm_4,RND_D,0,100,75.821,83.5486,75.93,277002,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_rand_perm_4,RND_D,1,100,75.8735,83.632,76.02,277002,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_rand_perm_4,RND_D,2,100,75.914,83.6581,76.08,277002,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_rand_perm_4,RND_D,3,100,75.2305,82.7483,75.26,277002,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_rand_perm_4,RND_D,4,100,75.434,83.5452,75.57,277002,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_perm_4,RND_S,0,100,75.227,82.9405,75.31,277002,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_perm_4,RND_S,1,100,75.3745,83.3468,75.4,277002,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_perm_4,RND_S,2,100,75.9115,83.6701,76.07,277002,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_perm_4,RND_S,3,100,75.792,82.7952,75.88,277002,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,16,256,channel_same_perm_4,RND_S,4,100,75.273,83.5284,75.32,277002,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_real_4dir,GEO_DIV,0,100,80.356,92.52,80.32,282890,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_real_4dir,GEO_DIV,1,100,80.364,92.8655,80.45,282890,csplit_d256_seed1/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_real_4dir,GEO_DIV,2,100,79.865,92.3441,79.95,282890,csplit_d256_seed2/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_real_4dir,GEO_DIV,3,100,80.318,92.8193,80.42,282890,csplit_d256_seed3/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_real_4dir,GEO_DIV,4,100,79.665,92.1867,79.74,282890,csplit_d256_seed4/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_row_4,GEO_S,0,100,76.3695,92.5386,76.51,282890,csplit_d256_seed0/stage1_results.json
earlier,cifar10,channel_split,mamba,256,32,1024,channel_same_row_4,GEO_S,1,100,76.759,92.0488,76.8,282890,csplit_d256_seed1/stage1_results.json
